"","X","X.1","X.2","X.3","X.4","X.5","X","Strong","Weak","X.7","X.8","X.9","X.10","X.11","X.12","X.3","Strong.1","Weak.1"
"59","CP_Z3DC_CB","0,125","0,0535714286","0","0","0","CP_Z3DC_CB","0,0357142857","0,0327868852",NA,"CP_Z3DC_CB","0,1428571429","0,15","0","0","CP_Z3DC_CB","0,1111111111","0,027027027"
"60","CP_Z3DC_MIN","0,1666666667","0,125","0,1016949153","0,0769230769","0","CP_Z3DC_MIN","0,0714285714","0,0983606557",NA,"CP_Z3DC_MIN","0","0,15","0","0","CP_Z3DC_MIN","0","0,1081081081"
"61","CP_ZLOCAL_CB","0,0833333333","0,0357142857","0,0338983051","0","0","CP_ZLOCAL_CB","0","0,0491803279",NA,"CP_ZLOCAL_CB","0","0,15","0","0","CP_ZLOCAL_CB","0","0,0810810811"
"62","CP_ZLOCAL_MIN","0,125","0,125","0,0508474576","0","0","CP_ZLOCAL_MIN","0","0,0819672131",NA,"CP_ZLOCAL_MIN","0,1428571429","0,2","0,0526315789","0","CP_ZLOCAL_MIN","0,2222222222","0,0810810811"
"63","CP_ZPAIR_CB","0,125","0,0714285714","0,0169491525","0","0","CP_ZPAIR_CB","0,0357142857","0,0655737705",NA,"CP_ZPAIR_CB","0","0,35","0","0","CP_ZPAIR_CB","0","0,0810810811"
"64","CP_ZPAIR_MIN","0,125","0,0178571429","0,0677966102","0","0","CP_ZPAIR_MIN","0,0357142857","0,0655737705",NA,"CP_ZPAIR_MIN","0","0,2","0,0526315789","0","CP_ZPAIR_MIN","0,1111111111","0,0810810811"
"65","CP_ZS3DC_CB","0,1666666667","0,125","0,1016949153","0,0769230769","0","CP_ZS3DC_CB","0,1071428571","0,131147541",NA,"CP_ZS3DC_CB","0,1428571429","0,2","0,0526315789","0","CP_ZS3DC_CB","0,1111111111","0,1081081081"
"66","CP_ZS3DC_MIN","0,25","0,125","0,186440678","0,0384615385","0","CP_ZS3DC_MIN","0,2142857143","0,1147540984",NA,"CP_ZS3DC_MIN","0","0,2","0,0526315789","0,25","CP_ZS3DC_MIN","0,2222222222","0,0810810811"
"67","DESOLV","0,2083333333","0,125","0,0338983051","0,1538461538","0","DESOLV","0,1428571429","0,0819672131",NA,"DESOLV","0,1428571429","0,05","0,1052631579","0","DESOLV","0,1111111111","0,0810810811"
"68","ELE","0,2083333333","0,2142857143","0,2033898305","0,0769230769","0","ELE","0,3214285714","0,1639344262",NA,"ELE","0,4285714286","0,2","0,1052631579","0","ELE","0,4444444444","0,1081081081"
"69","ODA","0,125","0,2678571429","0,1355932203","0,1153846154","0","ODA","0,2142857143","0,1475409836",NA,"ODA","0,1428571429","0,1","0,1052631579","0","ODA","0,1111111111","0,1081081081"
"70","PROPNSTS","0,1666666667","0,1607142857","0,186440678","0,0769230769","0,0909090909","PROPNSTS","0,1785714286","0,131147541",NA,"PROPNSTS","0,2857142857","0,25","0,0526315789","0","PROPNSTS","0,2222222222","0,2162162162"
"71","PYDOCK_TOT","0,2916666667","0,2321428571","0,2033898305","0,0769230769","0","PYDOCK_TOT","0,25","0,2459016393",NA,"PYDOCK_TOT","0,2857142857","0,1","0,2105263158","0","PYDOCK_TOT","0,2222222222","0,1351351351"
"72","SIPPER","0,2916666667","0,2678571429","0,1525423729","0,2307692308","0,0909090909","SIPPER","0,4642857143","0,1639344262",NA,"SIPPER","0,1428571429","0,15","0,0526315789","0","SIPPER","0,2222222222","0,1891891892"
"73","VDW","0,375","0,2321428571","0,1525423729","0","0","VDW","0,25","0,1639344262",NA,"VDW","0,2857142857","0,2","0,0526315789","0","VDW","0,1111111111","0,1351351351"
"74","SDOCK","0,4166666667","0,3035714286","0,3050847458","0","0","SDOCK","0,3571428571","0,1967213115",NA,"SDOCK","0,4285714286","0,25","0,1578947368","0","SDOCK","0,3333333333","0,1621621622"
