"","ftdock","zdock","sdock","coor_x","coor_y","coor_z","cases"
"68","combo_CP_SKOa_PYDOCK_TOT","combo_CP_BFKV_PYDOCK_TOT","combo_AP_MPS_CP_RMFCEN1",2,3,2,24
"85","combo_PYDOCK_TOT_AP_DCOMPLEX","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",3,1,4,24
"106","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",4,1,0,24
"107","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",4,1,1,24
"108","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",4,1,2,24
"109","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_SDOCK_AP_MPS",4,1,3,24
"110","combo_CP_SKOa_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_PYDOCK_TOT_AP_MPS",4,1,4,24
"8","combo_CP_SJKG_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",0,1,2,25
"33","combo_CP_BFKV_AP_dDFIRE","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",1,1,2,25
"56","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_CP_TB",2,1,0,25
"57","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T2","combo_CP_E3D_MIN_AP_MPS",2,1,1,25
"58","combo_CP_SKOa_PYDOCK_TOT","combo_PYDOCK_TOT_AP_T2","combo_AP_MPS_CP_RMFCEN1",2,1,2,25
